Full Name,Email,Username,Item name,serial number,Category,manufacturer,purchase date,purchase cost,purchase order,order number,Licensed To Name,Licensed to Email,expiration date,maintained,reassignable,seats,company,supplier,notes
Bevon Ibarra,jgoodsell0@amazon.de,jgoodsell0,"Acetaminophen, Chlorpheniramine maleate, Phenylephrine HCl",4c2713a1-5b73-4ecb-b2e9-62bf0ff57165,Reverse-engineered incremental migration,Mayer-Bergnaum,11/24/2008,$12.58,34197,749317252-8,Jelene Goodsell,jgoodsell0@diigo.com,02/26/2016,false,yes,56,Gislason-Hagenes,Treutel Inc,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.

Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl."
Brant Turley,estrowan1@google.fr,estrowan1,Mirtazapine,9dda5116-ec27-4a64-a566-1cb06513460f,Grass-roots system-worthy focus group,,12/27/1981,$41.70,,420038879-0,Ericka Strowan,estrowan1@addthis.com,04/12/2016,false,no,55,,,
Gilligan O'Kinneally,kgillet2@jigsy.com,kgillet2,"Aconitum napellus, Arsenicum album, Coffea cruda, Euphorbium officinarum, Gnaphalium polycephalum, Hypericum perforatum, Magnesia phosphorica, Passiflora incarnata, Ranunculus bulbosus,",e93c361f-1cf3-4fc3-bfeb-f3dee49452fc,Right-sized 4th generation instruction set,Schmeler Group,04/13/1989,$66.07,64491,398520367-9,Kevon Gillet,kgillet2@ucsd.edu,04/03/2016,true,yes,23,Hodkiewicz LLC,Lakin-Sauer,"Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.

In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.

Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui."
Cathy Vanini,mferreo3@elpais.com,mferreo3,Gabapentin,e04d59af-7a42-468d-b11c-83b4c1fa2ee3,Pre-emptive solution-oriented adapter,Mertz and Sons,11/18/1981,$15.74,20450,272222159-4,Mario Ferreo,mferreo3@ifeng.com,09/17/2016,true,no,48,Herman and Sons,"Schuppe, Johnson and Heller","Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.

Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque."
Lorene Lambrecht,aimm4@instagram.com,aimm4,Doxazosin Mesylate,89da2922-3639-4654-8c3e-58a8b95db32c,Monitored intermediate service-desk,Mayert-Homenick,02/23/1998,$78.19,69356,027802149-2,Alaster Imm,aimm4@feedburner.com,04/11/2016,true,no,70,Hagenes Inc,"Wehner, Jaskolski and Champlin","Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.

Phasellus in felis. Donec semper sapien a libero. Nam dui."
Willey Mattityahou,rjanaszkiewicz5@theatlantic.com,rjanaszkiewicz5,Loperamide Hydrochloride,5180a72a-9978-41e9-89cb-f5b6913a7d89,Focused secondary product,Ortiz Inc,12/15/2008,$15.75,69285,953084568-5,Reggie Janaszkiewicz,rjanaszkiewicz5@delicious.com,06/12/2016,false,FALSE,16,Lockman and Sons,Braun LLC,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.

Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis."
Mignonne Kirkup,jlepiscopio6@goodreads.com,jlepiscopio6,Fluorescein Sodium,9001ff29-fbda-4095-944b-7a371179e5a6,Triple-buffered client-server conglomeration,,12/10/2007,$85.82,,514100350-7,Jereme L'Episcopio,jlepiscopio6@people.com.cn,12/17/2016,false,TRUE,7,,,
Cate McGavin,aprobbings7@edublogs.org,aprobbings7,OCTINOXATE and TITANIUM DIOXIDE,1b7fd855-55d9-4034-9899-42a9095d3cde,Robust background circuit,Runte-Hartmann,01/29/1998,$64.32,41152,997334813-3,Alaric Probbings,aprobbings7@skype.com,05/14/2016,false,true,78,Leffler Group,"Grady, Crona and Luettgen",Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.
Bradan Sipson,lalliban8@businessinsider.com,lalliban8,"Apis Mellifica, Arsenicum Album, Borax, Capsicum Annuum, Graphites, Mentha piperita, Mezereum, Natrum muriaticum, Nux vomica, Petroleum, Ranunculus bulbosus",d420f5cf-36bb-43e7-9c1d-0e7703e492fd,Public-key dedicated service-desk,Botsford-Boyle,05/30/2000,$25.15,93671,462155625-8,Lukas Alliban,lalliban8@forbes.com,11/03/2016,true,false,30,Brakus-Gaylord,Auer Group,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.

In congue. Etiam justo. Etiam pretium iaculis justo."
Gare Paddison,cogan9@ft.com,cogan9,DOCUSATE SODIUM,3025458b-920e-4c05-ad8b-f42e047f2dde,Assimilated optimal circuit,Tremblay LLC,02/18/1982,$82.42,28468,295163448-X,Cassi Ogan,cogan9@baidu.com,11/08/2016,true,yes,92,"McDermott, DuBuque and Rau",Glover-Emard,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.

In congue. Etiam justo. Etiam pretium iaculis justo.

In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus."
